Acao,Data,Close,Volume
OGXP3,2011-12-06,14.75,13074300
OGXP3,2011-12-07,14.70,14452100
OGXP3,2011-12-08,14.41,15741500
OGXP3,2011-12-09,14.60,12170100
OGXP3,2011-12-13,14.22,16824500
OGXP3,2011-12-14,13.69,30813900
OGXP3,2011-12-15,13.36,17911900
OGXP3,2011-12-16,12.95,19198400
OGXP3,2011-12-19,12.77,28160900
OGXP3,2011-12-20,13.65,16529200
OGXP3,2011-12-21,13.33,12760300
OGXP3,2011-12-22,13.67,8209500
OGXP3,2011-12-23,13.79,21541100
OGXP3,2011-12-26,13.78,1932200
OGXP3,2011-12-27,14.00,8921300
OGXP3,2011-12-28,13.76,8596900
OGXP3,2011-12-29,13.62,15263200
OGXP3,2011-12-30,13.62,0
OGXP3,2012-01-02,13.75,13165900
OGXP3,2012-01-03,13.94,15853300
OGXP3,2012-01-04,13.93,12091700
OGXP3,2012-01-05,13.60,15397600
OGXP3,2012-01-06,13.55,15031300
OGXP3,2012-01-09,13.74,9643600
OGXP3,2012-01-10,13.98,13608400
OGXP3,2012-01-11,14.23,12557500
OGXP3,2012-01-12,14.26,12621700
OGXP3,2012-01-13,14.16,13977000
OGXP3,2012-01-16,14.98,30392600
OGXP3,2012-01-18,15.89,26217300
OGXP3,2012-01-19,15.54,20505100
OGXP3,2012-01-20,15.64,12094900
OGXP3,2012-01-23,15.65,10200000
OGXP3,2012-01-24,15.83,14336900
OGXP3,2012-01-25,15.83,0
OGXP3,2012-01-26,16.00,20910300
OGXP3,2012-01-27,16.05,12622700
OGXP3,2012-01-30,16.15,17738900
OGXP3,2012-01-31,16.55,32106500
OGXP3,2012-02-01,17.49,41797800
OGXP3,2012-02-02,17.03,22590400
OGXP3,2012-02-03,17.30,17354200
OGXP3,2012-02-06,17.26,9788600
OGXP3,2012-02-07,17.46,12485400
OGXP3,2012-02-08,17.31,13654400
OGXP3,2012-02-09,17.30,12711600
OGXP3,2012-02-10,16.82,18213400
OGXP3,2012-02-13,16.82,0
OGXP3,2012-02-14,17.26,11609600
OGXP3,2012-02-15,17.25,16722700
OGXP3,2012-02-16,17.30,16921400
OGXP3,2012-02-17,17.65,12328800
OGXP3,2012-02-20,17.65,0
OGXP3,2012-02-21,17.65,0
OGXP3,2012-02-22,18.05,12368300
OGXP3,2012-02-23,18.21,18688400
OGXP3,2012-02-24,18.18,11588200
OGXP3,2012-02-27,17.70,12041900
OGXP3,2012-02-28,17.15,28512800
OGXP3,2012-02-29,17.00,18929700
OGXP3,2012-03-01,17.18,18732100
OGXP3,2012-03-02,17.43,14732100
OGXP3,2012-03-05,17.26,10224300
OGXP3,2012-03-06,16.91,13191500
OGXP3,2012-03-07,17.11,11169800
OGXP3,2012-03-08,16.99,18405000
OGXP3,2012-03-09,16.83,14996400
OGXP3,2012-03-12,16.67,10313700
OGXP3,2012-03-13,17.13,22110400
OGXP3,2012-03-14,17.07,18808000
OGXP3,2012-03-15,17.00,12335300
OGXP3,2012-03-16,17.01,9099100
OGXP3,2012-03-19,17.01,0
OGXP3,2012-03-20,17.02,10432600
OGXP3,2012-03-21,17.19,8242500
OGXP3,2012-03-22,16.99,10882100
OGXP3,2012-03-23,16.22,27965100
OGXP3,2012-03-26,15.83,19010800
OGXP3,2012-03-27,15.28,20060500
OGXP3,2012-03-28,15.28,23285200
OGXP3,2012-03-29,15.44,20186500
OGXP3,2012-03-30,15.10,19419500
OGXP3,2012-04-02,15.20,13100200
OGXP3,2012-04-03,14.35,37000400
OGXP3,2012-04-04,14.15,20217400
OGXP3,2012-04-05,14.64,20777900
OGXP3,2012-04-06,14.64,0
OGXP3,2012-04-09,14.19,13079400
OGXP3,2012-04-10,13.16,40918300
OGXP3,2012-04-11,13.29,30505800
OGXP3,2012-04-12,14.02,28715900
OGXP3,2012-04-13,14.00,30949400
OGXP3,2012-04-16,13.83,23403300
OGXP3,2012-04-17,13.82,21567400
OGXP3,2012-04-18,13.44,21051400
OGXP3,2012-04-19,12.96,24215700
OGXP3,2012-04-20,13.11,16342900
OGXP3,2012-04-23,13.05,22697200
OGXP3,2012-04-24,13.01,10924300
OGXP3,2012-04-25,13.83,25025900
OGXP3,2012-04-26,13.98,22823600
OGXP3,2012-04-27,13.51,13191000
OGXP3,2012-04-30,13.23,12302200
OGXP3,2012-05-01,13.23,0
OGXP3,2012-05-02,14.00,24041500
OGXP3,2012-05-03,13.75,19548600
OGXP3,2012-05-04,13.57,20675400
OGXP3,2012-05-07,13.98,17506400
OGXP3,2012-05-08,13.67,19391400
OGXP3,2012-05-09,13.30,12411800
OGXP3,2012-05-10,13.68,15650000
OGXP3,2012-05-11,13.59,11035500
OGXP3,2012-05-14,13.05,15333500
OGXP3,2012-05-15,12.03,39744700
OGXP3,2012-05-16,11.62,40356600
